ID,furnace,role,Description,UoM,pass
01TI1083A.PV,1HA,tube_COT,H-A TUBE CUR COT 083,DEGC,B
01TI1114A.PV,1HA,tube_COT,,,C
01TI1125A.PV,1HA,tube_COT,,,C
01TI1136A.PV,1HA,tube_COT,,,C
01TI1162A.PV,1HA,tube_COT,,,D
01TI1168A.PV,1HA,tube_COT,,,D
01TI2006A.PV,1HB,tube_COT,,DEGC,A
01TI2011A.PV,1HB,tube_COT,,,A
01TI2016A.PV,1HB,tube_COT,,,A
01TI2023A.PV,1HB,tube_COT,,,A
01TI2037A.PV,1HB,tube_COT,,,A
01TI2042A.PV,1HB,tube_COT,,,A
01TI2052A.PV,1HB,tube_COT,,,B
01TI2060A.PV,1HB,tube_COT,,,B
01TI2088A.PV,1HB,tube_COT,,,B
01TI2097A.PV,1HB,tube_COT,,,C
01TI2141A.PV,1HB,tube_COT,,,C
01TI2162A.PV,1HB,tube_COT,,,D
01TI2179A.PV,1HB,tube_COT,,,D
01TI3003A.PV,1HC,tube_COT,,,A
01TI3005A.PV,1HC,tube_COT,,,A
01TI3040A.PV,1HC,tube_COT,,,A
01TI3073A.PV,1HC,tube_COT,,,B
01TI3087A.PV,1HC,tube_COT,,,B
01TI3107A.PV,1HC,tube_COT,,,C
01TI3109A.PV,1HC,tube_COT,,,C
01TI3124A.PV,1HC,tube_COT,,,C
01TI3126A.PV,1HC,tube_COT,,,C
01TI3138A.PV,1HC,tube_COT,,,C
01TI3153A.PV,1HC,tube_COT,H-C TUBE CUR COT 153,DEGC,D
01TI1052A.PV,1HA,tube_COT,,,B
01TI1068A.PV,1HA,tube_COT,,,B
01TI1071A.PV,1HA,tube_COT,,,B
01TI1104A.PV,1HA,tube_COT,,,C
01TI1105A.PV,1HA,tube_COT,,,C
01TI1108A.PV,1HA,tube_COT,,,C
01TI1109A.PV,1HA,tube_COT,,,C
01TI1118A.PV,1HA,tube_COT,,,C
01TI1131A.PV,1HA,tube_COT,,,C
01TI1163A.PV,1HA,tube_COT,,,D
01TI1180A.PV,1HA,tube_COT,,,D
01TI1181A.PV,1HA,tube_COT,,,D
01TI1182A.PV,1HA,tube_COT,,,D
01TI2012A.PV,1HB,tube_COT,,,A
01TI2018A.PV,1HB,tube_COT,,,A
01TI2026A.PV,1HB,tube_COT,,,A
01TI2029A.PV,1HB,tube_COT,,,A
01TI2044A.PV,1HB,tube_COT,,,A
01TI2077A.PV,1HB,tube_COT,,,B
01TI2133A.PV,1HB,tube_COT,,,C
01TI2139A.PV,1HB,tube_COT,,,C
01TI2142A.PV,1HB,tube_COT,,,C
01TI2146A.PV,1HB,tube_COT,,,D
01TI2149A.PV,1HB,tube_COT,,,D
01TI2180A.PV,1HB,tube_COT,,,D
01TI3004A.PV,1HC,tube_COT,,,A
01TI3006A.PV,1HC,tube_COT,,,A
01TI3013A.PV,1HC,tube_COT,,,A
01TI3016A.PV,1HC,tube_COT,,,A
01TI3026A.PV,1HC,tube_COT,,,A
